iter	Logloss
0	0.6643591833
1	0.6426533833
2	0.6276259261
3	0.6140393719
4	0.6052632315
5	0.5964087925
6	0.5905083593
7	0.5852853252
8	0.5808390486
9	0.5761088871
10	0.5724145037
11	0.5697506214
12	0.5657945732
13	0.5634260633
14	0.5609740123
15	0.5584551359
16	0.5569853605
17	0.5550458378
18	0.5537566572
19	0.5524305424
20	0.5512631125
21	0.549378997
22	0.5477196136
23	0.5464148739
24	0.5447172991
25	0.543807686
26	0.5432107905
27	0.5424631056
28	0.5415503069
29	0.5408459753
30	0.5400382963
31	0.5394909081
32	0.5384052496
33	0.5373939554
34	0.5362882657
35	0.5353007015
36	0.5346387402
37	0.5341029506
38	0.5336575355
39	0.5331473018
40	0.5329359637
41	0.5326087459
42	0.532087847
43	0.531220289
44	0.5308024261
45	0.5296384961
46	0.5290279277
47	0.5276926197
48	0.5272415753
49	0.5259751188
50	0.5257282186
51	0.5248725034
52	0.5247618034
53	0.5242865419
54	0.5241034687
55	0.5239334882
56	0.5232731288
57	0.523016951
58	0.5227500712
59	0.5225363729
60	0.521762923
61	0.5214130683
62	0.5207447087
63	0.5202325554
64	0.5198495826
65	0.5196781823
66	0.5190130005
67	0.5177550351
68	0.5173044379
69	0.5167329696
70	0.5164750876
71	0.516220643
72	0.5155594901
73	0.5146827713
74	0.514030689
75	0.513751427
76	0.5131700038
77	0.5127908738
78	0.5121992943
79	0.5121558005
80	0.511394782
81	0.5103270257
82	0.5101281947
83	0.5092818119
84	0.5083142815
85	0.5076486948
86	0.5072330818
87	0.5070116201
88	0.5061396973
89	0.5053443365
90	0.5047298998
91	0.504025154
92	0.5029499298
93	0.5023093952
94	0.5016407793
95	0.5005203305
96	0.4999790158
97	0.4993042524
98	0.4987547987
99	0.4979496259
100	0.4972690397
101	0.4965575134
102	0.4958578909
103	0.4951272492
104	0.4946762529
105	0.4940481308
106	0.4938712823
107	0.4935030018
108	0.4930192862
109	0.4926612909
110	0.4919608072
111	0.491172539
112	0.4905029176
113	0.4899019114
114	0.4894380425
115	0.4884642195
116	0.4876282938
117	0.4869646759
118	0.4865648963
119	0.4857491706
120	0.4847044256
121	0.484023894
122	0.4835430787
123	0.4830445957
124	0.4823838735
125	0.4815464001
126	0.4809366184
127	0.4802685394
128	0.4793040181
129	0.478808442
130	0.4782714346
131	0.4777783494
132	0.4767843011
133	0.4761204519
134	0.4753852555
135	0.4747695521
136	0.4746841779
137	0.4740476542
138	0.473396019
139	0.4728696996
140	0.472184596
141	0.47154257
142	0.4711139663
143	0.4708734753
144	0.4705333022
145	0.4697580825
146	0.4692890359
147	0.4684592971
148	0.4677828811
149	0.4671655082
150	0.4665527467
151	0.4659726647
152	0.4653794706
153	0.4649760414
154	0.4643017088
155	0.4638466156
156	0.4631957639
157	0.4625885597
158	0.4623211594
159	0.4619874678
160	0.4615221364
161	0.4611474111
162	0.4606122351
163	0.4601573946
164	0.4596940067
165	0.459137714
166	0.458905276
167	0.4582378231
168	0.4575453759
169	0.4573253713
170	0.4570215019
171	0.4565986174
172	0.4562120873
173	0.4558836246
174	0.4553560676
175	0.4550429426
176	0.4545046377
177	0.4534742595
178	0.4528151083
179	0.4519106949
180	0.4515356389
181	0.4513488761
182	0.4506086128
183	0.4500851048
184	0.4495210251
185	0.4490889551
186	0.4485589822
187	0.4480207277
188	0.4477442487
189	0.4471977765
190	0.4469461389
191	0.446366456
192	0.4457269983
193	0.445301574
194	0.4448200708
195	0.4444263655
196	0.4438557114
197	0.4433776868
198	0.4429372573
199	0.4423798979
