iter	Passed	Remaining
0	14	2845
1	31	3106
2	46	3029
3	61	3024
4	74	2924
5	90	2932
6	103	2850
7	115	2781
8	128	2719
9	141	2683
10	154	2657
11	166	2613
12	181	2606
13	196	2605
14	208	2577
15	221	2549
16	236	2551
17	249	2525
18	262	2504
19	275	2479
20	289	2469
21	302	2448
22	317	2441
23	330	2422
24	341	2390
25	355	2377
26	367	2353
27	379	2333
28	392	2311
29	403	2287
30	416	2273
31	429	2254
32	443	2245
33	456	2229
34	471	2221
35	483	2202
36	495	2184
37	508	2168
38	522	2156
39	534	2137
40	548	2127
41	560	2110
42	573	2094
43	586	2080
44	599	2063
45	612	2050
46	624	2032
47	635	2013
48	648	1999
49	663	1991
50	680	1989
51	692	1972
52	707	1962
53	720	1948
54	734	1935
55	748	1924
56	761	1909
57	776	1900
58	790	1889
59	804	1876
60	819	1866
61	833	1854
62	849	1847
63	864	1837
64	880	1828
65	894	1816
66	910	1807
67	926	1798
68	941	1787
69	954	1772
70	970	1763
71	984	1750
72	998	1737
73	1013	1724
74	1026	1710
75	1039	1695
76	1051	1678
77	1063	1663
78	1076	1648
79	1089	1634
80	1104	1622
81	1117	1608
82	1129	1592
83	1143	1579
84	1157	1566
85	1171	1552
86	1183	1536
87	1195	1522
88	1209	1508
89	1222	1494
90	1237	1481
91	1250	1467
92	1262	1452
93	1277	1440
94	1290	1426
95	1305	1414
96	1317	1398
97	1330	1384
98	1344	1371
99	1357	1357
100	1371	1344
101	1382	1328
102	1394	1313
103	1409	1300
104	1421	1285
105	1434	1272
106	1446	1257
107	1458	1242
108	1473	1229
109	1485	1215
110	1498	1201
111	1511	1187
112	1524	1173
113	1540	1161
114	1552	1147
115	1566	1134
116	1580	1120
117	1591	1105
118	1604	1092
119	1617	1078
120	1630	1064
121	1645	1051
122	1659	1038
123	1673	1025
124	1684	1010
125	1692	994
126	1705	980
127	1721	968
128	1734	954
129	1746	940
130	1756	925
131	1763	908
132	1774	893
133	1786	879
134	1798	865
135	1808	850
136	1818	836
137	1830	822
138	1843	809
139	1853	794
140	1863	779
141	1875	766
142	1886	751
143	1895	737
144	1905	722
145	1916	708
146	1928	695
147	1940	681
148	1949	667
149	1960	653
150	1973	640
151	1983	626
152	1991	611
153	2001	597
154	2012	584
155	2023	570
156	2036	557
157	2047	544
158	2059	531
159	2071	517
160	2083	504
161	2095	491
162	2105	477
163	2116	464
164	2128	451
165	2140	438
166	2152	425
167	2164	412
168	2177	399
169	2188	386
170	2198	372
171	2208	359
172	2220	346
173	2231	333
174	2244	320
175	2251	307
176	2261	293
177	2272	280
178	2282	267
179	2291	254
180	2302	241
181	2313	228
182	2325	216
183	2337	203
184	2351	190
185	2363	177
186	2376	165
187	2389	152
188	2402	139
189	2415	127
190	2428	114
191	2441	101
192	2453	88
193	2464	76
194	2475	63
195	2488	50
196	2499	38
197	2511	25
198	2524	12
199	2539	0
